P227,[0-4],[0-2],[0-8],[0-4],[0-5],[0-3],[0-4],[0-4],[0-4],[0-5],[0-6],[0-5],[0-7],[0-3],[0-6],[0-7],[0-4],[0-3],[0-6],[0-7],[0-9],[0-3],[0-4],[0-7],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-5],[0-4],[0-4],[0-1],[0-5],[0-2],[0-5],[0-3],[0-4],[0-5],[0-7],[0-3],[0-6],[0-5],[0-5],[0-6],[0-4],[0-3],[0-7],[0-9],[0-9],b,Group: 0
P249,[0-4],[0-2],[0-8],[0-4],[0-5],[0-3],[0-4],[0-4],[0-4],[0-5],[0-6],[0-5],[0-7],[0-3],[0-6],[0-7],[0-4],[0-3],[0-6],[0-7],[0-9],[0-3],[0-4],[0-7],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-5],[0-4],[0-4],[0-1],[0-5],[0-2],[0-5],[0-3],[0-4],[0-5],[0-7],[0-3],[0-6],[0-5],[0-5],[0-6],[0-4],[0-3],[0-7],[0-9],[0-9],a,Group: 0
P256,[0-4],[0-2],[0-8],[0-4],[0-5],[0-3],[0-4],[0-4],[0-4],[0-5],[0-6],[0-5],[0-7],[0-3],[0-6],[0-7],[0-4],[0-3],[0-6],[0-7],[0-9],[0-3],[0-4],[0-7],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-5],[0-4],[0-4],[0-1],[0-5],[0-2],[0-5],[0-3],[0-4],[0-5],[0-7],[0-3],[0-6],[0-5],[0-5],[0-6],[0-4],[0-3],[0-7],[0-9],[0-9],aab,Group: 0
P366,[0-4],[0-2],[0-8],[0-4],[0-5],[0-3],[0-4],[0-4],[0-4],[0-5],[0-6],[0-5],[0-7],[0-3],[0-6],[0-7],[0-4],[0-3],[0-6],[0-7],[0-9],[0-3],[0-4],[0-7],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-5],[0-4],[0-4],[0-1],[0-5],[0-2],[0-5],[0-3],[0-4],[0-5],[0-7],[0-3],[0-6],[0-5],[0-5],[0-6],[0-4],[0-3],[0-7],[0-9],[0-9],b,Group: 0
P277,[0-4],[0-2],[0-8],[0-4],[0-5],[0-3],[0-4],[0-4],[0-4],[0-5],[0-6],[0-5],[0-7],[0-3],[0-6],[0-7],[0-4],[0-3],[0-6],[0-7],[0-9],[0-3],[0-4],[0-7],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-5],[0-4],[0-4],[0-1],[0-5],[0-2],[0-5],[0-3],[0-4],[0-5],[0-7],[0-3],[0-6],[0-5],[0-5],[0-6],[0-4],[0-3],[0-7],[0-9],[0-9],aab,Group: 0
P338,[0-4],[0-2],[0-8],[0-4],[0-5],[0-3],[0-4],[0-4],[0-4],[0-5],[0-6],[0-5],[0-7],[0-3],[0-6],[0-7],[0-4],[0-3],[0-6],[0-7],[0-9],[0-3],[0-4],[0-7],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-5],[0-4],[0-4],[0-1],[0-5],[0-2],[0-5],[0-3],[0-4],[0-5],[0-7],[0-3],[0-6],[0-5],[0-5],[0-6],[0-4],[0-3],[0-7],[0-9],[0-9],aab,Group: 0
P127,[0-4],[0-2],[0-8],[0-4],[0-5],[0-3],[0-4],[0-4],[0-4],[0-5],[0-6],[0-5],[0-7],[0-3],[0-6],[0-7],[0-4],[0-3],[0-6],[0-7],[0-9],[0-3],[0-4],[0-7],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-5],[0-4],[0-4],[0-1],[0-5],[0-2],[0-5],[0-3],[0-4],[0-5],[0-7],[0-3],[0-6],[0-5],[0-5],[0-6],[0-4],[0-3],[0-7],[0-9],[0-9],a,Group: 0
P396,[0-4],[0-2],[0-8],[0-4],[0-5],[0-3],[0-4],[0-4],[0-4],[0-5],[0-6],[0-5],[0-7],[0-3],[0-6],[0-7],[0-4],[0-3],[0-6],[0-7],[0-9],[0-3],[0-4],[0-7],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-5],[0-4],[0-4],[0-1],[0-5],[0-2],[0-5],[0-3],[0-4],[0-5],[0-7],[0-3],[0-6],[0-5],[0-5],[0-6],[0-4],[0-3],[0-7],[0-9],[0-9],abb,Group: 0
P377,[0-4],[0-2],[0-8],[0-4],[0-5],[0-3],[0-4],[0-4],[0-4],[0-5],[0-6],[0-5],[0-7],[0-3],[0-6],[0-7],[0-4],[0-3],[0-6],[0-7],[0-9],[0-3],[0-4],[0-7],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-5],[0-4],[0-4],[0-1],[0-5],[0-2],[0-5],[0-3],[0-4],[0-5],[0-7],[0-3],[0-6],[0-5],[0-5],[0-6],[0-4],[0-3],[0-7],[0-9],[0-9],abb,Group: 0
P245,[0-4],[0-2],[0-8],[0-4],[0-5],[0-3],[0-4],[0-4],[0-4],[0-5],[0-6],[0-5],[0-7],[0-3],[0-6],[0-7],[0-4],[0-3],[0-6],[0-7],[0-9],[0-3],[0-4],[0-7],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-5],[0-4],[0-4],[0-1],[0-5],[0-2],[0-5],[0-3],[0-4],[0-5],[0-7],[0-3],[0-6],[0-5],[0-5],[0-6],[0-4],[0-3],[0-7],[0-9],[0-9],a,Group: 0
P391,[0-4],[0-2],[0-8],[0-4],[0-5],[0-3],[0-4],[0-4],[0-4],[0-5],[0-6],[0-5],[0-7],[0-3],[0-6],[0-7],[0-4],[0-3],[0-6],[0-7],[0-9],[0-3],[0-4],[0-7],[0-4],[0-6],[0-5],[0-4],[0-2],[0-3],[0-4],[0-5],[0-4],[0-4],[0-1],[0-5],[0-2],[0-5],[0-3],[0-4],[0-5],[0-7],[0-3],[0-6],[0-5],[0-5],[0-6],[0-4],[0-3],[0-7],[0-9],[0-9],abb,Group: 0
P320,[0-7],[0-5],[0-8],[0-8],[0-7],[1-6],[2-6],[0-6],[1-9],[1-6],[1-7],[1-9],[1-5],[0-9],[0-9],[0-9],[0-10],[0-5],[0-9],[0-5],[0-7],[0-5],[1-5],[0-8],[1-7],[2-7],[0-4],[0-4],[0-5],[0-4],[0-5],[0-6],[0-5],[0-7],[0-7],[0-5],[0-6],[0-4],[1-4],[2-6],[1-7],[1-5],[0-6],[1-6],[0-6],[1-6],[1-7],[0-7],[1-8],[1-5],[2-6],[2-10],a,Group: 1
