P472,[0-1],[0-0],[0-1],[0-0],[0-2],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-2],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-2],[0-2],[0-0],[0-1],[0-1],[0-2],[0-2],[0-0],[0-2],[0-2],[0-1],[0-1],[0-4],[0-4],[0-3],bcb,Group: 0
P483,[0-1],[0-0],[0-1],[0-0],[0-2],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-2],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-2],[0-2],[0-0],[0-1],[0-1],[0-2],[0-2],[0-0],[0-2],[0-2],[0-1],[0-1],[0-4],[0-4],[0-3],b,Group: 0
P817,[0-1],[0-0],[0-1],[0-0],[0-2],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-2],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-2],[0-2],[0-0],[0-1],[0-1],[0-2],[0-2],[0-0],[0-2],[0-2],[0-1],[0-1],[0-4],[0-4],[0-3],aab,Group: 0
P230,[0-1],[0-0],[0-1],[0-0],[0-2],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-2],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-2],[0-2],[0-0],[0-1],[0-1],[0-2],[0-2],[0-0],[0-2],[0-2],[0-1],[0-1],[0-4],[0-4],[0-3],b,Group: 0
P216,[0-1],[0-0],[0-1],[0-0],[0-2],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-2],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-2],[0-2],[0-0],[0-1],[0-1],[0-2],[0-2],[0-0],[0-2],[0-2],[0-1],[0-1],[0-4],[0-4],[0-3],aab,Group: 0
P779,[0-1],[0-0],[0-1],[0-0],[0-2],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-2],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-2],[0-2],[0-0],[0-1],[0-1],[0-2],[0-2],[0-0],[0-2],[0-2],[0-1],[0-1],[0-4],[0-4],[0-3],aab,Group: 0
P668,[0-1],[0-0],[0-1],[0-0],[0-2],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-2],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-2],[0-2],[0-0],[0-1],[0-1],[0-2],[0-2],[0-0],[0-2],[0-2],[0-1],[0-1],[0-4],[0-4],[0-3],b,Group: 0
P256,[0-1],[0-0],[0-1],[0-0],[0-2],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-2],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-2],[0-2],[0-0],[0-1],[0-1],[0-2],[0-2],[0-0],[0-2],[0-2],[0-1],[0-1],[0-4],[0-4],[0-3],aab,Group: 0
P714,[0-1],[0-0],[0-1],[0-0],[0-2],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-2],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-2],[0-2],[0-0],[0-1],[0-1],[0-2],[0-2],[0-0],[0-2],[0-2],[0-1],[0-1],[0-4],[0-4],[0-3],b,Group: 0
P277,[0-1],[0-0],[0-1],[0-0],[0-2],[0-1],[0-2],[0-1],[0-1],[0-0],[0-1],[0-1],[0-0],[0-0],[0-1],[0-0],[0-0],[0-0],[0-1],[0-0],[0-1],[0-1],[0-2],[0-1],[0-1],[0-1],[0-0],[0-2],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-1],[0-0],[0-2],[0-2],[0-2],[0-0],[0-1],[0-1],[0-2],[0-2],[0-0],[0-2],[0-2],[0-1],[0-1],[0-4],[0-4],[0-3],aab,Group: 0
