P335,[0-6],[1-4],[1-6],[1-8],[1-4],[0-8],[1-7],[0-3],[0-4],[1-6],[1-4],[0-7],[1-6],[2-5],[1-9],[0-6],[0-4],[1-5],[3-6],[0-7],[1-9],[0-7],[2-5],[2-8],[1-5],[2-4],[0-5],[0-6],[1-6],[0-4],[0-3],[0-5],[0-7],[0-8],[0-11],[0-5],[1-4],[0-6],[1-5],[0-5],[1-6],[1-8],[1-6],[2-7],[1-5],[1-5],[2-7],[1-7],[1-6],[1-6],[0-5],[3-6],b,Group: 0
P367,[0-6],[1-4],[1-6],[1-8],[1-4],[0-8],[1-7],[0-3],[0-4],[1-6],[1-4],[0-7],[1-6],[2-5],[1-9],[0-6],[0-4],[1-5],[3-6],[0-7],[1-9],[0-7],[2-5],[2-8],[1-5],[2-4],[0-5],[0-6],[1-6],[0-4],[0-3],[0-5],[0-7],[0-8],[0-11],[0-5],[1-4],[0-6],[1-5],[0-5],[1-6],[1-8],[1-6],[2-7],[1-5],[1-5],[2-7],[1-7],[1-6],[1-6],[0-5],[3-6],bcc,Group: 0
P265,[0-6],[1-4],[1-6],[1-8],[1-4],[0-8],[1-7],[0-3],[0-4],[1-6],[1-4],[0-7],[1-6],[2-5],[1-9],[0-6],[0-4],[1-5],[3-6],[0-7],[1-9],[0-7],[2-5],[2-8],[1-5],[2-4],[0-5],[0-6],[1-6],[0-4],[0-3],[0-5],[0-7],[0-8],[0-11],[0-5],[1-4],[0-6],[1-5],[0-5],[1-6],[1-8],[1-6],[2-7],[1-5],[1-5],[2-7],[1-7],[1-6],[1-6],[0-5],[3-6],a,Group: 0
P312,[0-6],[1-4],[1-6],[1-8],[1-4],[0-8],[1-7],[0-3],[0-4],[1-6],[1-4],[0-7],[1-6],[2-5],[1-9],[0-6],[0-4],[1-5],[3-6],[0-7],[1-9],[0-7],[2-5],[2-8],[1-5],[2-4],[0-5],[0-6],[1-6],[0-4],[0-3],[0-5],[0-7],[0-8],[0-11],[0-5],[1-4],[0-6],[1-5],[0-5],[1-6],[1-8],[1-6],[2-7],[1-5],[1-5],[2-7],[1-7],[1-6],[1-6],[0-5],[3-6],bcc,Group: 0
P291,[0-6],[1-4],[1-6],[1-8],[1-4],[0-8],[1-7],[0-3],[0-4],[1-6],[1-4],[0-7],[1-6],[2-5],[1-9],[0-6],[0-4],[1-5],[3-6],[0-7],[1-9],[0-7],[2-5],[2-8],[1-5],[2-4],[0-5],[0-6],[1-6],[0-4],[0-3],[0-5],[0-7],[0-8],[0-11],[0-5],[1-4],[0-6],[1-5],[0-5],[1-6],[1-8],[1-6],[2-7],[1-5],[1-5],[2-7],[1-7],[1-6],[1-6],[0-5],[3-6],b,Group: 0
P336,[0-6],[1-4],[1-6],[1-8],[1-4],[0-8],[1-7],[0-3],[0-4],[1-6],[1-4],[0-7],[1-6],[2-5],[1-9],[0-6],[0-4],[1-5],[3-6],[0-7],[1-9],[0-7],[2-5],[2-8],[1-5],[2-4],[0-5],[0-6],[1-6],[0-4],[0-3],[0-5],[0-7],[0-8],[0-11],[0-5],[1-4],[0-6],[1-5],[0-5],[1-6],[1-8],[1-6],[2-7],[1-5],[1-5],[2-7],[1-7],[1-6],[1-6],[0-5],[3-6],a,Group: 0
P342,[0-6],[1-4],[1-6],[1-8],[1-4],[0-8],[1-7],[0-3],[0-4],[1-6],[1-4],[0-7],[1-6],[2-5],[1-9],[0-6],[0-4],[1-5],[3-6],[0-7],[1-9],[0-7],[2-5],[2-8],[1-5],[2-4],[0-5],[0-6],[1-6],[0-4],[0-3],[0-5],[0-7],[0-8],[0-11],[0-5],[1-4],[0-6],[1-5],[0-5],[1-6],[1-8],[1-6],[2-7],[1-5],[1-5],[2-7],[1-7],[1-6],[1-6],[0-5],[3-6],b,Group: 0
P156,[0-6],[1-4],[1-6],[1-8],[1-4],[0-8],[1-7],[0-3],[0-4],[1-6],[1-4],[0-7],[1-6],[2-5],[1-9],[0-6],[0-4],[1-5],[3-6],[0-7],[1-9],[0-7],[2-5],[2-8],[1-5],[2-4],[0-5],[0-6],[1-6],[0-4],[0-3],[0-5],[0-7],[0-8],[0-11],[0-5],[1-4],[0-6],[1-5],[0-5],[1-6],[1-8],[1-6],[2-7],[1-5],[1-5],[2-7],[1-7],[1-6],[1-6],[0-5],[3-6],a,Group: 0
P325,[1-10],[1-7],[1-6],[1-5],[1-7],[2-8],[3-8],[2-12],[2-5],[1-7],[0-7],[1-7],[3-9],[2-9],[1-9],[0-6],[1-6],[2-8],[2-5],[1-6],[0-8],[2-8],[3-5],[1-8],[1-9],[2-7],[1-6],[0-5],[0-4],[0-6],[0-5],[2-7],[1-7],[3-5],[1-5],[1-8],[2-6],[1-5],[2-5],[0-5],[1-8],[2-6],[1-8],[2-5],[0-6],[2-9],[2-7],[1-5],[2-6],[1-8],[2-5],[0-6],b,Group: 1
P23,[1-10],[1-7],[1-6],[1-5],[1-7],[2-8],[3-8],[2-12],[2-5],[1-7],[0-7],[1-7],[3-9],[2-9],[1-9],[0-6],[1-6],[2-8],[2-5],[1-6],[0-8],[2-8],[3-5],[1-8],[1-9],[2-7],[1-6],[0-5],[0-4],[0-6],[0-5],[2-7],[1-7],[3-5],[1-5],[1-8],[2-6],[1-5],[2-5],[0-5],[1-8],[2-6],[1-8],[2-5],[0-6],[2-9],[2-7],[1-5],[2-6],[1-8],[2-5],[0-6],baa,Group: 1
P302,[1-10],[1-7],[1-6],[1-5],[1-7],[2-8],[3-8],[2-12],[2-5],[1-7],[0-7],[1-7],[3-9],[2-9],[1-9],[0-6],[1-6],[2-8],[2-5],[1-6],[0-8],[2-8],[3-5],[1-8],[1-9],[2-7],[1-6],[0-5],[0-4],[0-6],[0-5],[2-7],[1-7],[3-5],[1-5],[1-8],[2-6],[1-5],[2-5],[0-5],[1-8],[2-6],[1-8],[2-5],[0-6],[2-9],[2-7],[1-5],[2-6],[1-8],[2-5],[0-6],bab,Group: 1
P313,[1-10],[1-7],[1-6],[1-5],[1-7],[2-8],[3-8],[2-12],[2-5],[1-7],[0-7],[1-7],[3-9],[2-9],[1-9],[0-6],[1-6],[2-8],[2-5],[1-6],[0-8],[2-8],[3-5],[1-8],[1-9],[2-7],[1-6],[0-5],[0-4],[0-6],[0-5],[2-7],[1-7],[3-5],[1-5],[1-8],[2-6],[1-5],[2-5],[0-5],[1-8],[2-6],[1-8],[2-5],[0-6],[2-9],[2-7],[1-5],[2-6],[1-8],[2-5],[0-6],bab,Group: 1
P323,[1-10],[1-7],[1-6],[1-5],[1-7],[2-8],[3-8],[2-12],[2-5],[1-7],[0-7],[1-7],[3-9],[2-9],[1-9],[0-6],[1-6],[2-8],[2-5],[1-6],[0-8],[2-8],[3-5],[1-8],[1-9],[2-7],[1-6],[0-5],[0-4],[0-6],[0-5],[2-7],[1-7],[3-5],[1-5],[1-8],[2-6],[1-5],[2-5],[0-5],[1-8],[2-6],[1-8],[2-5],[0-6],[2-9],[2-7],[1-5],[2-6],[1-8],[2-5],[0-6],b,Group: 1
P158,[1-10],[1-7],[1-6],[1-5],[1-7],[2-8],[3-8],[2-12],[2-5],[1-7],[0-7],[1-7],[3-9],[2-9],[1-9],[0-6],[1-6],[2-8],[2-5],[1-6],[0-8],[2-8],[3-5],[1-8],[1-9],[2-7],[1-6],[0-5],[0-4],[0-6],[0-5],[2-7],[1-7],[3-5],[1-5],[1-8],[2-6],[1-5],[2-5],[0-5],[1-8],[2-6],[1-8],[2-5],[0-6],[2-9],[2-7],[1-5],[2-6],[1-8],[2-5],[0-6],baa,Group: 1
P204,[1-10],[1-7],[1-6],[1-5],[1-7],[2-8],[3-8],[2-12],[2-5],[1-7],[0-7],[1-7],[3-9],[2-9],[1-9],[0-6],[1-6],[2-8],[2-5],[1-6],[0-8],[2-8],[3-5],[1-8],[1-9],[2-7],[1-6],[0-5],[0-4],[0-6],[0-5],[2-7],[1-7],[3-5],[1-5],[1-8],[2-6],[1-5],[2-5],[0-5],[1-8],[2-6],[1-8],[2-5],[0-6],[2-9],[2-7],[1-5],[2-6],[1-8],[2-5],[0-6],bab,Group: 1
P98,[1-10],[1-7],[1-6],[1-5],[1-7],[2-8],[3-8],[2-12],[2-5],[1-7],[0-7],[1-7],[3-9],[2-9],[1-9],[0-6],[1-6],[2-8],[2-5],[1-6],[0-8],[2-8],[3-5],[1-8],[1-9],[2-7],[1-6],[0-5],[0-4],[0-6],[0-5],[2-7],[1-7],[3-5],[1-5],[1-8],[2-6],[1-5],[2-5],[0-5],[1-8],[2-6],[1-8],[2-5],[0-6],[2-9],[2-7],[1-5],[2-6],[1-8],[2-5],[0-6],b,Group: 1
P361,[0-6],[0-3],[0-3],[0-2],[1-7],[0-4],[0-3],[0-6],[0-2],[0-3],[0-3],[0-3],[0-7],[0-3],[0-6],[0-4],[0-5],[0-4],[0-4],[0-7],[0-7],[0-3],[0-4],[0-4],[0-5],[1-3],[0-3],[0-3],[0-3],[0-3],[0-4],[0-3],[0-2],[0-4],[0-6],[0-3],[0-3],[0-4],[0-3],[1-6],[0-6],[0-4],[0-3],[0-7],[0-4],[1-5],[0-3],[1-4],[1-7],[1-4],[1-7],[0-8],aab,Group: 2
P287,[0-6],[0-3],[0-3],[0-2],[1-7],[0-4],[0-3],[0-6],[0-2],[0-3],[0-3],[0-3],[0-7],[0-3],[0-6],[0-4],[0-5],[0-4],[0-4],[0-7],[0-7],[0-3],[0-4],[0-4],[0-5],[1-3],[0-3],[0-3],[0-3],[0-3],[0-4],[0-3],[0-2],[0-4],[0-6],[0-3],[0-3],[0-4],[0-3],[1-6],[0-6],[0-4],[0-3],[0-7],[0-4],[1-5],[0-3],[1-4],[1-7],[1-4],[1-7],[0-8],a,Group: 2
P393,[0-6],[0-3],[0-3],[0-2],[1-7],[0-4],[0-3],[0-6],[0-2],[0-3],[0-3],[0-3],[0-7],[0-3],[0-6],[0-4],[0-5],[0-4],[0-4],[0-7],[0-7],[0-3],[0-4],[0-4],[0-5],[1-3],[0-3],[0-3],[0-3],[0-3],[0-4],[0-3],[0-2],[0-4],[0-6],[0-3],[0-3],[0-4],[0-3],[1-6],[0-6],[0-4],[0-3],[0-7],[0-4],[1-5],[0-3],[1-4],[1-7],[1-4],[1-7],[0-8],aab,Group: 2
P339,[0-6],[0-3],[0-3],[0-2],[1-7],[0-4],[0-3],[0-6],[0-2],[0-3],[0-3],[0-3],[0-7],[0-3],[0-6],[0-4],[0-5],[0-4],[0-4],[0-7],[0-7],[0-3],[0-4],[0-4],[0-5],[1-3],[0-3],[0-3],[0-3],[0-3],[0-4],[0-3],[0-2],[0-4],[0-6],[0-3],[0-3],[0-4],[0-3],[1-6],[0-6],[0-4],[0-3],[0-7],[0-4],[1-5],[0-3],[1-4],[1-7],[1-4],[1-7],[0-8],aab,Group: 2
P362,[0-6],[0-3],[0-3],[0-2],[1-7],[0-4],[0-3],[0-6],[0-2],[0-3],[0-3],[0-3],[0-7],[0-3],[0-6],[0-4],[0-5],[0-4],[0-4],[0-7],[0-7],[0-3],[0-4],[0-4],[0-5],[1-3],[0-3],[0-3],[0-3],[0-3],[0-4],[0-3],[0-2],[0-4],[0-6],[0-3],[0-3],[0-4],[0-3],[1-6],[0-6],[0-4],[0-3],[0-7],[0-4],[1-5],[0-3],[1-4],[1-7],[1-4],[1-7],[0-8],a,Group: 2
