k_value,p_value,paa_value,max_level,ncp
3,2,3,5,0.14965291751681262
3,2,3,6,0.14710965157069208
3,2,3,7,0.16606889048383522
3,2,3,8,0.17039853487060758
3,2,3,9,0.1811828461703439
3,2,3,10,0.18678788239494437
3,2,4,5,0.18485808792005423
3,2,4,6,0.18581124654764142
3,2,4,7,0.21163008954625173
3,2,4,8,0.2184428584942422
3,2,4,9,0.22223068084446101
3,2,4,10,0.22503335456486126
3,2,5,5,0.1821544896930147
3,2,5,6,0.18490797464266578
3,2,5,7,0.18563476709591087
3,2,5,8,0.186532683492559
3,2,5,9,0.18658259417874093
3,2,5,10,0.186065452129045
4,3,3,5,0.20449496693294908
4,3,3,6,0.19706535215195692
4,3,3,7,0.22991075893195462
4,3,3,8,0.2449025237754668
4,3,3,9,0.25594559667101047
4,3,3,10,0.2558608486209653
4,3,4,5,0.25045421983229993
4,3,4,6,0.2502710458464093
4,3,4,7,0.27784676689437177
4,3,4,8,0.2846703292373541
4,3,4,9,0.28321257207032685
4,3,4,10,0.2832368583438905
4,3,5,5,0.23913277204101632
4,3,5,6,0.2342337325968883
4,3,5,7,0.23475308102973075
4,3,5,8,0.23945254687909545
4,3,5,9,0.24111622868357122
4,3,5,10,0.24019502120827096
4,2,3,5,0.17714791258118978
4,2,3,6,0.17766418653549237
4,2,3,7,0.18969483138021898
4,2,3,8,0.19557198145998608
4,2,3,9,0.21271894345033324
4,2,3,10,0.21735628266189455
4,2,4,5,0.20999592235408643
4,2,4,6,0.2104406159034927
4,2,4,7,0.2354134915373372
4,2,4,8,0.2458959405871501
4,2,4,9,0.24934997408819953
4,2,4,10,0.24908208097041867
4,2,5,5,0.20907640699521723
4,2,5,6,0.21111934404749463
4,2,5,7,0.21022827146056533
4,2,5,8,0.2127582593733557
4,2,5,9,0.21083871116989245
4,2,5,10,0.21294476881399652
5,4,3,5,0.24037487420291714
5,4,3,6,0.24458782049924044
5,4,3,7,0.277586293339
5,4,3,8,0.29609804904419235
5,4,3,9,0.31815483955101403
5,4,3,10,0.32388960856909865
5,4,4,5,0.3087964512133226
5,4,4,6,0.3076455168859887
5,4,4,7,0.32774031790304603
5,4,4,8,0.33279062861211106
5,4,4,9,0.3313747183748951
5,4,4,10,0.3338685284540508
5,4,5,5,0.2770635446504216
5,4,5,6,0.2780851615620107
5,4,5,7,0.27392806810904236
5,4,5,8,0.27593126090315884
5,4,5,9,0.278625573105075
5,4,5,10,0.27324323087651425
5,3,3,5,0.21412758491931605
5,3,3,6,0.2141546770560778
5,3,3,7,0.24987279726508937
5,3,3,8,0.2638927253043678
5,3,3,9,0.2746052491224224
5,3,3,10,0.2760595180413605
5,3,4,5,0.2664817746312199
5,3,4,6,0.2680043155645393
5,3,4,7,0.2953546763000698
5,3,4,8,0.3027897811690059
5,3,4,9,0.2995412834490817
5,3,4,10,0.30221531297481136
5,3,5,5,0.25562146872518077
5,3,5,6,0.2579856926122506
5,3,5,7,0.2546632395220805
5,3,5,8,0.25609059199609924
5,3,5,9,0.2520111031656429
5,3,5,10,0.25838927116597143
5,2,3,5,0.1884440815692722
5,2,3,6,0.18912434832970312
5,2,3,7,0.20571661963425
5,2,3,8,0.21514423930245646
5,2,3,9,0.22628114226117874
5,2,3,10,0.2323964154085918
5,2,4,5,0.22499883255302258
5,2,4,6,0.22698720557978092
5,2,4,7,0.25316529818639943
5,2,4,8,0.2610130613080264
5,2,4,9,0.2659501644971818
5,2,4,10,0.26733963509139586
5,2,5,5,0.22499176155921388
5,2,5,6,0.2257684092639623
5,2,5,7,0.22882502540769248
5,2,5,8,0.22822354410049372
5,2,5,9,0.2287106483427024
5,2,5,10,0.22869148999365674
6,5,3,5,0.27200623349551983
6,5,3,6,0.2787868652628323
6,5,3,7,0.32079383165867403
6,5,3,8,0.3350345901114492
6,5,3,9,0.362888960755491
6,5,3,10,0.36028383648944884
6,5,4,5,0.3445673977529529
6,5,4,6,0.351247559420943
6,5,4,7,0.3574177838398273
6,5,4,8,0.35966729503805733
6,5,4,9,0.35517136692267554
6,5,4,10,0.358434666295929
6,5,5,5,0.30004115126222786
6,5,5,6,0.30777493685288376
6,5,5,7,0.30363732942553295
6,5,5,8,0.30333296099880264
6,5,5,9,0.3043716781727644
6,5,5,10,0.30533360103027424
6,4,3,5,0.2626704542729087
6,4,3,6,0.25116683343535534
6,4,3,7,0.2872814722259955
6,4,3,8,0.30624320866121424
6,4,3,9,0.3275044052046065
6,4,3,10,0.3286037950600528
6,4,4,5,0.3230885790732291
6,4,4,6,0.3195873278698203
6,4,4,7,0.3407200518161714
6,4,4,8,0.3438371933958026
6,4,4,9,0.3449886628534222
6,4,4,10,0.3425140202854743
6,4,5,5,0.28608648090982125
6,4,5,6,0.284716407977973
6,4,5,7,0.28281420845516514
6,4,5,8,0.2874096633358334
6,4,5,9,0.28948225454582494
6,4,5,10,0.2846972445217784
6,3,3,5,0.22969615777981783
6,3,3,6,0.2327204267809824
6,3,3,7,0.2621524287679748
6,3,3,8,0.27789200957064214
6,3,3,9,0.287708736188156
6,3,3,10,0.28882026382308756
6,3,4,5,0.28126404773154456
6,3,4,6,0.2748601609982779
6,3,4,7,0.31293203571533
6,3,4,8,0.31513717172018235
6,3,4,9,0.3118636342372615
6,3,4,10,0.3119241527259022
6,3,5,5,0.2659567281506978
6,3,5,6,0.2673278680113828
6,3,5,7,0.26849353866715225
6,3,5,8,0.26445148740335345
6,3,5,9,0.26511407609647947
6,3,5,10,0.26376853580805854
6,2,3,5,0.20206200125717189
6,2,3,6,0.19858546425103027
6,2,3,7,0.21594516248647044
6,2,3,8,0.22359943979636743
6,2,3,9,0.23786684074365766
6,2,3,10,0.2421148523920192
6,2,4,5,0.2365193439357128
6,2,4,6,0.24122622499589297
6,2,4,7,0.26594030622293596
6,2,4,8,0.2736015034426581
6,2,4,9,0.2759247506034099
6,2,4,10,0.2821534440980954
6,2,5,5,0.23524495804283665
6,2,5,6,0.2353607655357422
6,2,5,7,0.23599903436548067
6,2,5,8,0.24004073114213362
6,2,5,9,0.23868220679092494
6,2,5,10,0.2378925346185728
7,6,3,5,0.30104013455284423
7,6,3,6,0.2983976604478434
7,6,3,7,0.34708841632927356
7,6,3,8,0.3866817737700543
7,6,3,9,0.3916837937785166
7,6,3,10,0.39428701688261264
7,6,4,5,0.38003852704357155
7,6,4,6,0.38154157036077246
7,6,4,7,0.38189625525746157
7,6,4,8,0.3807966249027136
7,6,4,9,0.3807962163703996
7,6,4,10,0.38205276366755214
7,6,5,5,0.349759173150933
7,6,5,6,0.3474802519571591
7,6,5,7,0.35212270860721717
7,6,5,8,0.3465210006377536
7,6,5,9,0.34556063670083564
7,6,5,10,0.3496602640966521
7,5,3,5,0.27614395164707384
7,5,3,6,0.28673720931179925
7,5,3,7,0.33477226595322546
7,5,3,8,0.34961088457050665
7,5,3,9,0.3768216978167725
7,5,3,10,0.37630852255289615
7,5,4,5,0.36720000623541593
7,5,4,6,0.35831909541483103
7,5,4,7,0.36440356081074604
7,5,4,8,0.3648592800986475
7,5,4,9,0.370604967999627
7,5,4,10,0.3659689160608263
7,5,5,5,0.3187497296467797
7,5,5,6,0.32502455737023844
7,5,5,7,0.3245687122368988
7,5,5,8,0.3208350181194618
7,5,5,9,0.32296272097937195
7,5,5,10,0.31760335621493846
