k_value,p_value,paa_value,max_level,ncp
3,2,3,5,0.1491526903144066
3,2,3,6,0.14962281545560618
3,2,3,7,0.16626117213180583
3,2,3,8,0.17163907849808868
3,2,3,9,0.18441499379304402
3,2,3,10,0.1874955365939548
3,2,4,5,0.18313087416075174
3,2,4,6,0.18506344373640865
3,2,4,7,0.2145907718039375
3,2,4,8,0.21927862155950253
3,2,4,9,0.2212728465555429
3,2,4,10,0.2257540049772772
3,2,5,5,0.1825244920091775
3,2,5,6,0.1826751175603568
3,2,5,7,0.18594590448318524
3,2,5,8,0.18617719992535767
3,2,5,9,0.18651054429178518
3,2,5,10,0.1849666179193731
4,3,3,5,0.19965079187697268
4,3,3,6,0.20110553814691792
4,3,3,7,0.23374506160351255
4,3,3,8,0.24259544225259277
4,3,3,9,0.2603018193046569
4,3,3,10,0.2566982408503775
4,3,4,5,0.2515842251216211
4,3,4,6,0.2503955056790666
4,3,4,7,0.2792311005618864
4,3,4,8,0.2830478842021231
4,3,4,9,0.28600122091416524
4,3,4,10,0.28281559902307507
4,3,5,5,0.235879180589356
4,3,5,6,0.23697192720303772
4,3,5,7,0.23496005673383008
4,3,5,8,0.23908577423682115
4,3,5,9,0.23993582140305078
4,3,5,10,0.2366382531487932
4,2,3,5,0.1784815870158751
4,2,3,6,0.17524883001139727
4,2,3,7,0.18935662758604804
4,2,3,8,0.20013195303132916
4,2,3,9,0.21258228324017542
4,2,3,10,0.21808088704604936
4,2,4,5,0.21015726099089732
4,2,4,6,0.2094120789712223
4,2,4,7,0.23709379084382484
4,2,4,8,0.24604344630912045
4,2,4,9,0.24970177013061895
4,2,4,10,0.24854897944854978
4,2,5,5,0.21190692251433155
4,2,5,6,0.2096069134574797
4,2,5,7,0.21034157681178492
4,2,5,8,0.20959771641214123
4,2,5,9,0.20999641200341534
4,2,5,10,0.20999721565235993
5,4,3,5,0.24419614132394069
5,4,3,6,0.24386928310448652
5,4,3,7,0.2793676497596632
5,4,3,8,0.29351884923965144
5,4,3,9,0.3173379131089766
5,4,3,10,0.32091874432947687
5,4,4,5,0.30778525318410244
5,4,4,6,0.3105598695094971
5,4,4,7,0.3301192508362369
5,4,4,8,0.3314646044342563
5,4,4,9,0.3327400001763605
5,4,4,10,0.3334922820515182
5,4,5,5,0.27645937317206287
5,4,5,6,0.27657678915513584
5,4,5,7,0.27398740917433123
5,4,5,8,0.2762127976274276
5,4,5,9,0.276656934498084
5,4,5,10,0.27809286469841626
5,3,3,5,0.22208359161164784
5,3,3,6,0.2196999692763804
5,3,3,7,0.24728636148436992
5,3,3,8,0.25763794477326085
5,3,3,9,0.2720251955642777
5,3,3,10,0.27526341982271857
5,3,4,5,0.2687839675575943
5,3,4,6,0.26414049171057025
5,3,4,7,0.2992222420368942
5,3,4,8,0.30159936341069465
5,3,4,9,0.30247393409953305
5,3,4,10,0.3024896332816774
5,3,5,5,0.256457610169363
5,3,5,6,0.2537455275651939
5,3,5,7,0.25791936200511134
5,3,5,8,0.2557905303046382
5,3,5,9,0.252074780469809
5,3,5,10,0.2560270944969969
5,2,3,5,0.18965566932356898
5,2,3,6,0.19212012938291584
5,2,3,7,0.20617376994847247
5,2,3,8,0.2137538702631721
5,2,3,9,0.22677532587711774
5,2,3,10,0.23120218328787173
5,2,4,5,0.22961856711769277
5,2,4,6,0.22812137047616582
5,2,4,7,0.25464772714466216
5,2,4,8,0.26039389087008774
5,2,4,9,0.26502581690116955
5,2,4,10,0.26714101035091353
5,2,5,5,0.22543969263068883
5,2,5,6,0.2245334460705142
5,2,5,7,0.22777345679587438
5,2,5,8,0.22841607665069286
5,2,5,9,0.2274825705309139
5,2,5,10,0.22820290205225205
6,5,3,5,0.27230784451258144
6,5,3,6,0.2721105416452898
6,5,3,7,0.3183002173287741
6,5,3,8,0.347785624104741
6,5,3,9,0.36843441667201493
6,5,3,10,0.36205448250785616
6,5,4,5,0.3496844541709531
6,5,4,6,0.34979610698577424
6,5,4,7,0.3595806854502227
6,5,4,8,0.35648843220064486
6,5,4,9,0.3605822824236684
6,5,4,10,0.359493333093432
6,5,5,5,0.30711836801545994
6,5,5,6,0.3060490768468659
6,5,5,7,0.3024649891462555
6,5,5,8,0.30550582353170014
6,5,5,9,0.30359618010384465
6,5,5,10,0.30194878478432624
6,4,3,5,0.25205585914025813
6,4,3,6,0.25902597333092436
6,4,3,7,0.287702897118264
6,4,3,8,0.305675775689771
6,4,3,9,0.32837060203905655
6,4,3,10,0.335680574735098
6,4,4,5,0.3246517547466133
6,4,4,6,0.32214354631448283
6,4,4,7,0.33839101781411196
6,4,4,8,0.3432825249332939
6,4,4,9,0.343405366231789
6,4,4,10,0.3423116841884106
6,4,5,5,0.28303213103457847
6,4,5,6,0.28414216807663134
