k_value,p_value,paa_value,max_level,ncp
3,2,3,5,0.009916759240127904
3,2,3,6,0.013144090426797551
3,2,3,7,0.01960065988768297
3,2,3,8,0.013131413988024188
3,2,3,9,0.016739020227953153
3,2,3,10,0.009997906689285112
3,2,4,5,0.01648326076998477
3,2,4,6,0.016155305433330432
3,2,4,7,0.01615542396319909
3,2,4,8,0.016161025514622555
3,2,4,9,0.014877703735837203
3,2,4,10,0.014880345117051115
3,2,5,5,0.01284178541412301
3,2,5,6,0.012838374471925849
3,2,5,7,0.017684969359634643
3,2,5,8,0.012857333155799
3,2,5,9,0.01769763461173666
3,2,5,10,0.012834842250124608
4,3,3,5,0.029285148576504026
4,3,3,6,0.018331414985395575
4,3,3,7,0.018366426190917835
4,3,3,8,0.022338298474263288
4,3,3,9,0.029321464263175175
4,3,3,10,0.022313483719913485
4,3,4,5,0.02212382232280396
4,3,4,6,0.022187690155430723
4,3,4,7,0.02216733360758687
4,3,4,8,0.020717809319642923
4,3,4,9,0.022389138451586767
4,3,4,10,0.02075654611103243
4,3,5,5,0.019522364396356396
4,3,5,6,0.021552120059987113
4,3,5,7,0.02281742705038104
4,3,5,8,0.021595110477664083
4,3,5,9,0.019474037324556975
4,3,5,10,0.01948337199817517
4,2,3,5,0.019305316432069272
4,2,3,6,0.014321761360577414
4,2,3,7,0.020089055887942315
4,2,3,8,0.014315063571663917
4,2,3,9,0.017997764115005404
4,2,3,10,0.010842651363552013
4,2,4,5,0.020560677239020914
4,2,4,6,0.01620121329845847
4,2,4,7,0.021763390511000326
4,2,4,8,0.021757701997648513
4,2,4,9,0.016216208539903687
4,2,4,10,0.01622392511203689
4,2,5,5,0.013013607564250749
4,2,5,6,0.012979942262211639
4,2,5,7,0.01297983834926489
4,2,5,8,0.010342943761285465
4,2,5,9,0.012985163050274317
4,2,5,10,0.010311329945292137
5,4,3,5,0.024349405316606062
5,4,3,6,0.02431254988721268
5,4,3,7,0.03513282248462323
