['k_value', 'p_value', 'paa_value', 'max_level', 'ncp']
[3, 2, 3, 5, 88.8780225810077]
[3, 2, 3, 6, 87.23417470321775]
[3, 2, 3, 7, 107.97745067401888]
[3, 2, 3, 8, 111.00797518795389]
[3, 2, 3, 9, 120.15871191634]
[3, 2, 3, 10, 123.39862780460633]
[3, 2, 4, 5, 124.69002758513035]
[3, 2, 4, 6, 123.64801592427209]
[3, 2, 4, 7, 146.94471543318838]
[3, 2, 4, 8, 151.19895573617225]
[3, 2, 4, 9, 150.75637436842118]
[3, 2, 4, 10, 151.83436759869682]
[3, 2, 5, 5, 123.6372558412655]
[3, 2, 5, 6, 123.53698548074604]
[3, 2, 5, 7, 125.81283517158695]
[3, 2, 5, 8, 124.3231647431866]
[3, 2, 5, 9, 124.99165680944796]
[3, 2, 5, 10, 126.09184795642366]
[4, 2, 3, 5, 104.87824554728171]
[4, 2, 3, 6, 102.33628189584026]
[4, 2, 3, 7, 123.07679391346316]
[4, 2, 3, 8, 132.83378246145702]
[4, 2, 3, 9, 135.40877538874864]
[4, 2, 3, 10, 140.51860160329727]
[4, 2, 4, 5, 139.82599546009456]
[4, 2, 4, 6, 140.93751439940795]
[4, 2, 4, 7, 159.09553421755774]
[4, 2, 4, 8, 163.20916217364916]
[4, 2, 4, 9, 164.0484258581747]
[4, 2, 4, 10, 164.8010728559638]
[4, 2, 5, 5, 137.35466163049216]
[4, 2, 5, 6, 137.34019982232675]
[4, 2, 5, 7, 141.35993904650155]
[4, 2, 5, 8, 141.29213044869064]
[4, 2, 5, 9, 140.5574604432769]
[4, 2, 5, 10, 140.78562491896838]
[5, 2, 3, 5, 111.48421279191841]
[5, 2, 3, 6, 112.45886604307204]
[5, 2, 3, 7, 132.72831023594847]
[5, 2, 3, 8, 137.40238202418462]
[5, 2, 3, 9, 147.71953546148399]
[5, 2, 3, 10, 152.2363175691213]
[5, 2, 4, 5, 150.94796846982516]
[5, 2, 4, 6, 147.7649142029325]
[5, 2, 4, 7, 170.1193198535667]
[5, 2, 4, 8, 178.33172794757044]
[5, 2, 4, 9, 175.77870131873186]
[5, 2, 4, 10, 178.29901145783148]
[5, 2, 5, 5, 151.36547436289678]
[5, 2, 5, 6, 147.98099720634644]
[5, 2, 5, 7, 151.00922270605037]
[5, 2, 5, 8, 153.9183178025595]
[5, 2, 5, 9, 152.06792520333536]
[5, 2, 5, 10, 153.50208371952087]
[6, 2, 3, 5, 123.24769577947774]
[6, 2, 3, 6, 116.69171370118019]
[6, 2, 3, 7, 142.7559381496403]
[6, 2, 3, 8, 148.52759771553116]
[6, 2, 3, 9, 153.1292513315942]
[6, 2, 3, 10, 155.53175936329086]
[6, 2, 4, 5, 153.67746978761386]
[6, 2, 4, 6, 155.83368753162304]
[6, 2, 4, 7, 180.45857721588604]
[6, 2, 4, 8, 181.06918382070882]
[6, 2, 4, 9, 184.71308553646855]
[6, 2, 4, 10, 181.17562432968754]
[6, 2, 5, 5, 160.68242508797462]
[6, 2, 5, 6, 159.04335869102118]
[6, 2, 5, 7, 157.65357112413824]
[6, 2, 5, 8, 155.9273304907238]
[6, 2, 5, 9, 157.51622284060687]
[6, 2, 5, 10, 157.6364068982645]
[7, 2, 3, 5, 129.9353003728574]
[7, 2, 3, 6, 128.96718373077024]
[7, 2, 3, 7, 149.51276294274433]
[7, 2, 3, 8, 153.67587231116968]
[7, 2, 3, 9, 165.15435747403055]
[7, 2, 3, 10, 163.6193424192278]
[7, 2, 4, 5, 167.20344739530142]
[7, 2, 4, 6, 163.4320353816479]
[7, 2, 4, 7, 188.71278978323204]
[7, 2, 4, 8, 192.64455055055774]
[7, 2, 4, 9, 192.638574326163]
[7, 2, 4, 10, 197.15908906932557]
[7, 2, 5, 5, 167.07884373002204]
[7, 2, 5, 6, 169.3348378719418]
[7, 2, 5, 7, 169.6112750307587]
[7, 2, 5, 8, 167.11285472072953]
[7, 2, 5, 9, 168.1670464792582]
[7, 2, 5, 10, 169.48654631021586]
[8, 2, 3, 5, 133.31075812414622]
[8, 2, 3, 6, 132.79940935722067]
[8, 2, 3, 7, 145.97949179933374]
[8, 2, 3, 8, 156.77642315367427]
[8, 2, 3, 9, 174.45701896842814]
[8, 2, 3, 10, 174.09099612331937]
[8, 2, 4, 5, 176.19262013053773]
[8, 2, 4, 6, 176.6486238842435]
[8, 2, 4, 7, 200.8264719224799]
[8, 2, 4, 8, 203.24168097135194]
[8, 2, 4, 9, 193.57945397349482]
[8, 2, 4, 10, 205.67608066990076]
[8, 2, 5, 5, 166.3314846396264]
[8, 2, 5, 6, 175.41302495705438]
[8, 2, 5, 7, 174.53004984252172]
[8, 2, 5, 8, 169.51208567612593]
[8, 2, 5, 9, 173.71743951685602]
[8, 2, 5, 10, 178.17402630968894]
[4, 3, 3, 5, 121.62601527372355]
[4, 3, 3, 6, 124.09083560253576]
[4, 3, 3, 7, 154.6973935651791]
[4, 3, 3, 8, 161.66126035654736]
[4, 3, 3, 9, 176.45298742399362]
[4, 3, 3, 10, 179.4927349055221]
[4, 3, 4, 5, 172.56246669252758]
[4, 3, 4, 6, 173.89028772471605]
