k_value,p_value,paa_value,max_level,ncp
3,2,3,5,5.754026305047171
3,2,3,6,5.730226733824278
3,2,3,7,6.856131976155837
3,2,3,8,7.3186006817491105
3,2,3,9,7.9817826562258425
3,2,3,10,8.079462598910272
3,2,4,5,8.00685872378125
3,2,4,6,8.034724207019936
3,2,4,7,9.400510974895056
3,2,4,8,9.786698341207105
3,2,4,9,9.701402559284313
3,2,4,10,9.772624337089008
3,2,5,5,7.924417420195852
3,2,5,6,7.935947330364973
3,2,5,7,8.025099714622055
3,2,5,8,8.150893984193186
3,2,5,9,8.036205917221672
3,2,5,10,8.147596305577471
4,3,3,5,7.897781296546612
4,3,3,6,8.136540316176399
4,3,3,7,10.116161673942173
4,3,3,8,10.558025738850873
4,3,3,9,11.525104679710285
4,3,3,10,11.651538080230623
4,3,4,5,11.203136695904337
4,3,4,6,11.472602852811825
4,3,4,7,12.678522134794452
4,3,4,8,12.513591337876312
4,3,4,9,12.759546724435321
4,3,4,10,12.618035468396293
4,3,5,5,10.538782597822138
4,3,5,6,10.252643132471936
4,3,5,7,10.45439930789988
4,3,5,8,10.503934741179323
4,3,5,9,10.56354599292385
4,3,5,10,10.45954157528478
4,2,3,5,6.666242583327855
4,2,3,6,6.814757230558702
4,2,3,7,7.822886290207657
4,2,3,8,8.198197523179998
4,2,3,9,8.957756184012604
4,2,3,10,8.72981578071195
4,2,4,5,9.007672812532375
4,2,4,6,9.093006741308102
4,2,4,7,10.378238522891847
4,2,4,8,10.497275087914174
4,2,4,9,10.47310379391031
4,2,4,10,10.630179592074239
4,2,5,5,8.90274516627122
4,2,5,6,8.836309479466822
4,2,5,7,8.970368395703009
4,2,5,8,9.119483957149574
4,2,5,9,9.136157247833962
4,2,5,10,9.02362687162723
5,4,3,5,10.318267289657037
5,4,3,6,9.916111132161818
5,4,3,7,12.576165717497478
5,4,3,8,13.04523096040743
5,4,3,9,13.930871007902857
5,4,3,10,14.145456638686412
5,4,4,5,14.528081249265812
5,4,4,6,14.60805552433382
5,4,4,7,15.412726536810526
5,4,4,8,15.226883749369573
5,4,4,9,15.097132257604827
5,4,4,10,15.04632773614655
5,4,5,5,12.361893871912814
5,4,5,6,12.316488529501065
5,4,5,7,12.201557859858326
5,4,5,8,12.671936503132294
5,4,5,9,12.33263686921715
5,4,5,10,12.424605680233574
5,3,3,5,8.954924330166776
5,3,3,6,8.661790804281244
5,3,3,7,10.998889612427858
5,3,3,8,11.380715538792586
5,3,3,9,12.011838849342878
5,3,3,10,12.352849953495836
5,3,4,5,11.928382103521331
5,3,4,6,12.117080537794573
5,3,4,7,13.527819512676302
5,3,4,8,13.226206706543081
5,3,4,9,13.344574022129526
5,3,4,10,13.61287568903739
5,3,5,5,11.116983493066682
5,3,5,6,11.407481692421229
5,3,5,7,11.27530066736071
5,3,5,8,11.204414872830533
5,3,5,9,11.018067343506479
5,3,5,10,11.179851965660658
5,2,3,5,7.583228141472716
5,2,3,6,7.509106260355159
5,2,3,7,8.403591451334982
5,2,3,8,8.746180979258712
5,2,3,9,9.517799703549649
5,2,3,10,9.622838764557002
5,2,4,5,9.531402744908705
5,2,4,6,9.559688343701051
5,2,4,7,11.26083875492259
5,2,4,8,11.380186836929415
5,2,4,9,11.175266985716478
5,2,4,10,11.705803125384103
5,2,5,5,9.717324050170163
5,2,5,6,9.746422326504423
5,2,5,7,9.782263478609874
5,2,5,8,9.61827076936469
5,2,5,9,9.60846900182329
5,2,5,10,10.024978378294445
6,5,3,5,12.002538559627618
6,5,3,6,11.785372492669117
6,5,3,7,14.46276529012426
6,5,3,8,14.963113286058562
6,5,3,9,16.495007884847052
6,5,3,10,16.42308708713448
6,5,4,5,16.08281777681334
6,5,4,6,16.037136796101898
6,5,4,7,15.908770172779821
6,5,4,8,15.828854739067241
6,5,4,9,15.95611988457079
6,5,4,10,16.108464903148814
6,5,5,5,14.393672545325478
6,5,5,6,14.285512766872655
6,5,5,7,14.053106993105075
6,5,5,8,14.165053949748996
6,5,5,9,14.279426798079406
6,5,5,10,14.33953350548162
6,4,3,5,10.735195432824549
6,4,3,6,10.789258144289986
6,4,3,7,12.853437275099694
6,4,3,8,13.546763324021748
6,4,3,9,14.525360692025421
6,4,3,10,14.897091083721152
