k_value,p_value,paa_value,max_level,ncp
3,2,3,5,2.4392402446808092
3,2,3,6,3.010382201454018
3,2,3,7,3.846290614306245
3,2,3,8,4.569689765675947
3,2,3,9,4.487310439399286
3,2,3,10,5.272952945951674
3,2,4,5,3.212550657647529
3,2,4,6,3.6071867441746575
3,2,4,7,3.3953317941926366
3,2,4,8,4.002142136554618
3,2,4,9,4.04875892359957
3,2,4,10,5.078254856221683
3,2,5,5,4.0233566444262525
3,2,5,6,3.4038706006612465
3,2,5,7,4.053083555107339
3,2,5,8,3.7238221507493434
3,2,5,9,3.981407211970435
3,2,5,10,4.52227291043519
4,3,3,5,4.014025710923195
4,3,3,6,4.318036634089286
4,3,3,7,5.098935424811958
4,3,3,8,5.321840174178814
4,3,3,9,6.940015091178778
4,3,3,10,7.101328754712653
4,3,4,5,4.625648262856696
4,3,4,6,4.673176516330158
4,3,4,7,6.228895151632283
4,3,4,8,6.018472940347704
4,3,4,9,6.020581008625228
4,3,4,10,6.290754187064248
4,3,5,5,5.181104263591286
4,3,5,6,5.491838146434654
4,3,5,7,5.288056034660977
4,3,5,8,6.753617966365488
4,3,5,9,6.6340744903052755
4,3,5,10,6.632464395880835
4,2,3,5,3.734564155191557
4,2,3,6,3.9222441114609605
4,2,3,7,4.709000836488264
4,2,3,8,4.64483438055252
4,2,3,9,5.596675623981023
4,2,3,10,4.906287847904666
4,2,4,5,3.3864768059082087
4,2,4,6,4.641187570212121
4,2,4,7,4.983300793541743
4,2,4,8,5.342619957561742
4,2,4,9,5.649143906412738
4,2,4,10,4.678684594288666
4,2,5,5,3.8108594172724186
4,2,5,6,4.417754529345051
4,2,5,7,4.576954420479301
4,2,5,8,4.695001331557621
4,2,5,9,4.317590488216056
4,2,5,10,5.482328185423205
5,4,3,5,4.165807098732616
5,4,3,6,6.562710663113774
5,4,3,7,5.8261357577810795
5,4,3,8,7.1679808776846725
5,4,3,9,8.695935601700738
5,4,3,10,8.364391987545808
5,4,4,5,5.828731437189448
5,4,4,6,7.874551272495891
5,4,4,7,5.749348786390613
5,4,4,8,8.483665329615697
5,4,4,9,8.662933507965421
5,4,4,10,9.130097512818802
5,4,5,5,8.271978692020529
5,4,5,6,7.593688205634818
5,4,5,7,7.389145461455393
5,4,5,8,9.183240508805085
5,4,5,9,8.918183877587783
5,4,5,10,8.906369001930349
5,3,3,5,4.063465649776397
5,3,3,6,5.036643021782805
5,3,3,7,5.80776834935981
5,3,3,8,6.384982687306347
5,3,3,9,7.541137478963593
5,3,3,10,7.328560166427012
5,3,4,5,6.741333578449069
5,3,4,6,6.419338420790195
5,3,4,7,6.395731581459278
5,3,4,8,6.02154584176593
5,3,4,9,7.160269293686685
5,3,4,10,7.808744221916549
5,3,5,5,6.057711486471589
5,3,5,6,5.898542502028256
5,3,5,7,5.728424983649188
5,3,5,8,6.32880664419955
5,3,5,9,8.182346036150696
5,3,5,10,7.667801902399373
5,2,3,5,2.857948035843843
5,2,3,6,3.1733259233788123
5,2,3,7,4.209614582891684
5,2,3,8,4.596177098617421
5,2,3,9,6.098448993001006
5,2,3,10,6.030072778317213
5,2,4,5,5.816478345896648
5,2,4,6,4.594259730785827
5,2,4,7,5.815009506443612
5,2,4,8,6.26826175511496
5,2,4,9,4.902092630645984
5,2,4,10,5.087507629741426
5,2,5,5,4.275081178006041
5,2,5,6,5.7457290700229136
5,2,5,7,6.057989477440344
5,2,5,8,4.744039347047369
5,2,5,9,4.707900650879367
5,2,5,10,5.770269962550635
6,5,3,5,7.176420215602034
6,5,3,6,8.480360697451717
6,5,3,7,8.377990503816045
6,5,3,8,9.81491189233104
6,5,3,9,9.219231860508831
6,5,3,10,9.195161987421185
6,5,4,5,9.70944633845358
6,5,4,6,6.6471431768640015
6,5,4,7,9.991947734750216
6,5,4,8,11.832683378252074
6,5,4,9,11.411393616024144
6,5,4,10,11.691349287299873
6,5,5,5,9.577310672885137
6,5,5,6,8.673109036677479
6,5,5,7,8.749860250736809
6,5,5,8,10.791842835729765
6,5,5,9,11.320867607397522
6,5,5,10,11.298800884101027
6,4,3,5,5.112140871101204
6,4,3,6,8.021104057818192
6,4,3,7,6.064611387428032
6,4,3,8,8.746110625388855
6,4,3,9,10.270160434262495
6,4,3,10,9.675436877074638
6,4,4,5,5.880421655049906
6,4,4,6,8.140716759565
6,4,4,7,6.258871750444374
6,4,4,8,7.500502834510489
6,4,4,9,10.606464067334956
6,4,4,10,9.46468174994652
6,4,5,5,7.562449156618296
6,4,5,6,7.578563020840631
6,4,5,7,7.673748609432548
6,4,5,8,9.076203843455815
6,4,5,9,10.080379859478962
6,4,5,10,9.713817176318766
6,3,3,5,3.9268823136877535
6,3,3,6,7.060090632633117
6,3,3,7,5.515324202159973
6,3,3,8,6.145625923499429
6,3,3,9,8.074341527383476
6,3,3,10,6.965953523916124
6,3,4,5,7.243318005752101
6,3,4,6,7.2243946817555384
6,3,4,7,7.0959832264571965
6,3,4,8,6.794259598483865
6,3,4,9,7.734384074203938
6,3,4,10,7.957578593078842
6,3,5,5,6.2404574438275136
6,3,5,6,6.374796691826044
6,3,5,7,5.910839348964188
6,3,5,8,6.576788786095882
6,3,5,9,6.950120699214595
6,3,5,10,6.962121196757544
6,2,3,5,5.0959123599472855
6,2,3,6,5.605140065692222
