k_value,p_value,paa_value,max_level,ncp
3,2,3,5,0.0441696642635819
3,2,3,6,0.04567637262318565
3,2,3,7,0.06865047703883553
3,2,3,8,0.06664665752433438
3,2,3,9,0.087752668536753
3,2,3,10,0.08479904573346775
3,2,4,5,0.05045954245292928
3,2,4,6,0.0574524900577927
3,2,4,7,0.06485610780726862
3,2,4,8,0.07263451946857394
3,2,4,9,0.08668048769093087
3,2,4,10,0.07599722568231936
3,2,5,5,0.0622556388426386
3,2,5,6,0.06611207356017865
3,2,5,7,0.07352678073153705
3,2,5,8,0.06293564163628705
3,2,5,9,0.07145255591383466
3,2,5,10,0.08208945655817304
4,3,3,5,0.07564066637970837
4,3,3,6,0.07759735929902588
4,3,3,7,0.09058564984982667
4,3,3,8,0.10831750102069714
4,3,3,9,0.12329450160654283
4,3,3,10,0.1332258363249337
4,3,4,5,0.09497107156976244
4,3,4,6,0.10106830908757027
4,3,4,7,0.08341478141637729
4,3,4,8,0.10432112658862991
4,3,4,9,0.10982472531255041
4,3,4,10,0.11254441242929167
4,3,5,5,0.12502099669146935
4,3,5,6,0.0921754413271698
4,3,5,7,0.11143209568660567
4,3,5,8,0.10164612649607883
4,3,5,9,0.11838504055674536
4,3,5,10,0.11843499915503121
4,2,3,5,0.04530446102266497
4,2,3,6,0.0497639311631943
4,2,3,7,0.0695031195534354
4,2,3,8,0.07160601453142788
4,2,3,9,0.0868392705554951
4,2,3,10,0.10413102684353266
4,2,4,5,0.05934760302553079
4,2,4,6,0.06078045020552921
4,2,4,7,0.09396013852129527
4,2,4,8,0.09788491281826082
4,2,4,9,0.08428469155894158
4,2,4,10,0.08335193752220012
4,2,5,5,0.06659099533714449
4,2,5,6,0.06679749309516911
4,2,5,7,0.0936936074068389
4,2,5,8,0.06927891571392307
4,2,5,9,0.10108410838582722
4,2,5,10,0.09554233199849911
5,4,3,5,0.11459251652202505
5,4,3,6,0.09657659431137557
5,4,3,7,0.11253215135244826
5,4,3,8,0.13108676164802824
5,4,3,9,0.15912620225484514
5,4,3,10,0.1404280448550047
5,4,4,5,0.10654149259438414
5,4,4,6,0.1290305390510609
5,4,4,7,0.14397149557704622
5,4,4,8,0.14855721653716436
5,4,4,9,0.15417226500639927
5,4,4,10,0.16194240695694506
5,4,5,5,0.15547617905713837
5,4,5,6,0.12895989774116992
5,4,5,7,0.1312295897706092
5,4,5,8,0.16357320624403895
5,4,5,9,0.1590423036058991
5,4,5,10,0.15755175996592025
5,3,3,5,0.11012872990890983
5,3,3,6,0.08718797553748732
5,3,3,7,0.09005767431488275
5,3,3,8,0.12034783258999436
5,3,3,9,0.11266358181656674
5,3,3,10,0.13391625744903707
5,3,4,5,0.11234555201217314
5,3,4,6,0.1225157272701707
5,3,4,7,0.11942888774312377
5,3,4,8,0.10766659461952197
5,3,4,9,0.1343914122189387
5,3,4,10,0.13838496423811983
5,3,5,5,0.10790631238710617
5,3,5,6,0.10653202369836691
5,3,5,7,0.10141631948153955
5,3,5,8,0.11219917141038233
5,3,5,9,0.14628416217618137
5,3,5,10,0.15339856438328878
5,2,3,5,0.07521495209145174
5,2,3,6,0.07521118438493044
5,2,3,7,0.1038235276447756
5,2,3,8,0.07973383386765143
5,2,3,9,0.1078918359168246
5,2,3,10,0.08532197259468888
5,2,4,5,0.06459985673083546
5,2,4,6,0.06275246751685822
5,2,4,7,0.09710596434703482
5,2,4,8,0.08322419904287742
5,2,4,9,0.08683688349253281
5,2,4,10,0.08719927212995958
5,2,5,5,0.11154441543134706
5,2,5,6,0.08548983631055988
5,2,5,7,0.09021250554269997
5,2,5,8,0.11403845895098556
5,2,5,9,0.08384538900852348
5,2,5,10,0.11015192975744875
6,5,3,5,0.131588670978663
6,5,3,6,0.1117231416516414
6,5,3,7,0.1174016502759758
6,5,3,8,0.18524724924486977
6,5,3,9,0.16648982204503499
6,5,3,10,0.19469888957888662
6,5,4,5,0.15878129380043662
6,5,4,6,0.12017477857248268
6,5,4,7,0.17338038331626143
6,5,4,8,0.21316795359685534
6,5,4,9,0.20563537959730185
6,5,4,10,0.2124540871206127
6,5,5,5,0.1519302140791081
6,5,5,6,0.14932228189776658
6,5,5,7,0.15666096850228536
6,5,5,8,0.19326071867431527
6,5,5,9,0.20174193304166707
6,5,5,10,0.20179607773475008
6,4,3,5,0.08329476891659203
6,4,3,6,0.10267336698498583
6,4,3,7,0.15391249654004774
6,4,3,8,0.16431393557286597
6,4,3,9,0.16509064663099
6,4,3,10,0.1994369820583599
6,4,4,5,0.1344549922336916
6,4,4,6,0.105557825604409
6,4,4,7,0.11523317532291665
6,4,4,8,0.1387415347418554
6,4,4,9,0.1875760034224031
6,4,4,10,0.16901217410618785
6,4,5,5,0.13069826569862447
6,4,5,6,0.13306685321665873
6,4,5,7,0.1596731932999244
6,4,5,8,0.16188799008911436
6,4,5,9,0.18000678320498148
6,4,5,10,0.18345990149606398
6,3,3,5,0.08064611562745552
6,3,3,6,0.08292198510097995
6,3,3,7,0.12681089825413716
6,3,3,8,0.14357815522191544
6,3,3,9,0.16495458705184685
6,3,3,10,0.15264572297508716
6,3,4,5,0.12298574552711806
6,3,4,6,0.09540240013791003
6,3,4,7,0.09114097185679026
6,3,4,8,0.11556624713138745
6,3,4,9,0.13056499655771855
6,3,4,10,0.14187008233981913
6,3,5,5,0.10058275965633137
6,3,5,6,0.09968825532408408
6,3,5,7,0.10520747496862498
6,3,5,8,0.11765991956992367
6,3,5,9,0.12410929820026063
6,3,5,10,0.1239867929930428
6,2,3,5,0.05920224769550042
6,2,3,6,0.10118582439734743
6,2,3,7,0.09999691740419098
6,2,3,8,0.12047386208704518
6,2,3,9,0.11260334573309098
6,2,3,10,0.12467546735126087
6,2,4,5,0.11257343019097292
6,2,4,6,0.10866472455273854
6,2,4,7,0.10956791941675698
6,2,4,8,0.12266275516242876
6,2,4,9,0.13910452026098483
6,2,4,10,0.1251726990360748
6,2,5,5,0.12354309569844077
6,2,5,6,0.10132191566299789
6,2,5,7,0.10274583546227783
6,2,5,8,0.11880271894014972
6,2,5,9,0.1276271604252891
6,2,5,10,0.11160049485502722
7,6,3,5,0.1118438215408489
7,6,3,6,0.14731330945422078
7,6,3,7,0.15893769026850404
7,6,3,8,0.17039577427128857
7,6,3,9,0.2226416779831238
7,6,3,10,0.19490872127276296
7,6,4,5,0.18818256597137345
7,6,4,6,0.1668553471667171
