k_value,p_value,paa_value,max_level,ncp
3,2,3,5,0.06171698119543547
3,2,3,6,0.06789689716909587
3,2,3,7,0.07741770364606305
3,2,3,8,0.06653609961224202
3,2,3,9,0.08977907479770357
3,2,3,10,0.08650248081270025
3,2,4,5,0.05551546029964676
3,2,4,6,0.04993012595115998
3,2,4,7,0.07248817663573895
3,2,4,8,0.07073214483061845
3,2,4,9,0.08462995545013045
3,2,4,10,0.07574300172549343
3,2,5,5,0.07070899003657559
3,2,5,6,0.056666308874869016
3,2,5,7,0.07177716110167483
3,2,5,8,0.062014598191253635
3,2,5,9,0.07144053697009094
3,2,5,10,0.08344909400776294
4,3,3,5,0.07433201660857267
4,3,3,6,0.08355351915572796
4,3,3,7,0.097151046617814
4,3,3,8,0.10566820569183125
4,3,3,9,0.110288389270491
4,3,3,10,0.12654538185880312
4,3,4,5,0.08514635930772951
4,3,4,6,0.08450313022835024
4,3,4,7,0.0842186037665753
4,3,4,8,0.12099428350990861
4,3,4,9,0.10732880109754023
4,3,4,10,0.1122004558603453
4,3,5,5,0.0936277095812963
4,3,5,6,0.09382277029411679
4,3,5,7,0.09817307545652885
4,3,5,8,0.10183485062148094
4,3,5,9,0.11838504055674536
4,3,5,10,0.11853782159194773
4,2,3,5,0.06218445780684419
4,2,3,6,0.07207964028383107
4,2,3,7,0.09219247786883947
4,2,3,8,0.08983188875314778
4,2,3,9,0.0864493427268362
4,2,3,10,0.10085429054017336
4,2,4,5,0.06201174169527565
4,2,4,6,0.0542525210628503
4,2,4,7,0.08074107863539176
4,2,4,8,0.08154348296967681
4,2,4,9,0.08521042857670735
4,2,4,10,0.08369912415695169
4,2,5,5,0.06563435648723154
4,2,5,6,0.061838470332524785
4,2,5,7,0.0921453285918064
4,2,5,8,0.06832469195610309
4,2,5,9,0.07700255628193907
4,2,5,10,0.09407843957488933
5,4,3,5,0.08527043967288171
5,4,3,6,0.09838840836292805
5,4,3,7,0.10348567917364145
5,4,3,8,0.1252056420869543
5,4,3,9,0.15525579084512608
5,4,3,10,0.13697477212975218
5,4,4,5,0.10009042989567558
5,4,4,6,0.10396898853071614
5,4,4,7,0.10621024094363189
5,4,4,8,0.148752695122246
5,4,4,9,0.1563517674732974
5,4,4,10,0.16181845114510265
5,4,5,5,0.13502872379554262
5,4,5,6,0.1351376032363306
5,4,5,7,0.13188860444729966
5,4,5,8,0.1493141300279295
5,4,5,9,0.17063959055629951
5,4,5,10,0.15925328352835325
5,3,3,5,0.11127587453899562
5,3,3,6,0.09403649559112962
5,3,3,7,0.08562448791480486
5,3,3,8,0.10639745815559316
5,3,3,9,0.11405832106573287
5,3,3,10,0.13921752642237367
5,3,4,5,0.08874129123876465
5,3,4,6,0.09895881548087938
5,3,4,7,0.09177805915009263
5,3,4,8,0.1234108078300236
5,3,4,9,0.12793389255639342
5,3,4,10,0.13112871725158157
5,3,5,5,0.12527957169753015
5,3,5,6,0.10417887583238361
5,3,5,7,0.11691359880370196
5,3,5,8,0.11336690723832667
5,3,5,9,0.1371008842241028
5,3,5,10,0.13771219702042906
5,2,3,5,0.07623410539286828
5,2,3,6,0.08196818522887325
5,2,3,7,0.0939154436591588
5,2,3,8,0.0811870381131931
5,2,3,9,0.11029414488011373
5,2,3,10,0.08742701202450243
5,2,4,5,0.09600358284425113
5,2,4,6,0.07244998845466105
5,2,4,7,0.10385421273442906
5,2,4,8,0.08334876367907525
5,2,4,9,0.08632704699934587
5,2,4,10,0.08737065747830314
5,2,5,5,0.08523068926929546
5,2,5,6,0.08938115135034526
5,2,5,7,0.08859901720309901
5,2,5,8,0.11264641271467372
5,2,5,9,0.0840696544799887
5,2,5,10,0.10265171124801356
6,5,3,5,0.13975591480882313
6,5,3,6,0.10738815999088068
6,5,3,7,0.12999899888621963
6,5,3,8,0.1798978806840011
6,5,3,9,0.1659073552605533
6,5,3,10,0.20208629361112962
6,5,4,5,0.12385179111845604
6,5,4,6,0.12091912381107459
6,5,4,7,0.17599183659266046
6,5,4,8,0.20426454303845862
6,5,4,9,0.20377488600043117
6,5,4,10,0.20877409441606917
6,5,5,5,0.17691117273449677
6,5,5,6,0.19410960283547884
6,5,5,7,0.1562849628342262
6,5,5,8,0.19273384766959706
6,5,5,9,0.20176430150180408
6,5,5,10,0.20176430150180408
6,4,3,5,0.12075048544850249
6,4,3,6,0.1298825439367376
6,4,3,7,0.10903687928925998
6,4,3,8,0.15111552631246358
6,4,3,9,0.14280182371976222
6,4,3,10,0.18318641300974967
6,4,4,5,0.10596733466384373
6,4,4,6,0.15163915987070728
6,4,4,7,0.1141706494892132
6,4,4,8,0.13662891323913204
6,4,4,9,0.1783023013475878
6,4,4,10,0.16908281219321414
6,4,5,5,0.1253727912238224
6,4,5,6,0.16341699921787328
6,4,5,7,0.13532338261740023
6,4,5,8,0.17172373575043548
6,4,5,9,0.1733779587299616
6,4,5,10,0.17640091487008439
6,3,3,5,0.06412848625101768
6,3,3,6,0.08813295976413298
6,3,3,7,0.13089576180867296
6,3,3,8,0.14742689557312857
6,3,3,9,0.14855480151062733
6,3,3,10,0.125866372859141
6,3,4,5,0.08469515137329903
6,3,4,6,0.14749612788699848
6,3,4,7,0.1170251345514166
6,3,4,8,0.12120365368121935
6,3,4,9,0.13412289128821075
6,3,4,10,0.14277848205385388
6,3,5,5,0.10845250481056115
6,3,5,6,0.10070020654236518
6,3,5,7,0.11979955815410735
6,3,5,8,0.11760935776535746
6,3,5,9,0.12410929820026063
6,3,5,10,0.12410929820026063
6,2,3,5,0.06502557473494189
6,2,3,6,0.10409190615821039
6,2,3,7,0.07690203809301752
6,2,3,8,0.11596794816366462
6,2,3,9,0.11438055913624397
6,2,3,10,0.10577046661671902
6,2,4,5,0.10924391668774662
