Product_Code	W0	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18	W19	W20	W21	W22	W23	W24	W25	W26	W27	W28	W29	W30	W31	W32	W33	W34	W35	W36	W37	W38	W39	W40	W41	W42	W43	W44	W45	W46	W47	W48	W49	W50	W51	Pattern	Group
P66	[1-39]	[0-37]	[0-39]	[0-52]	[1-38]	[0-37]	[0-52]	[0-39]	[0-42]	[0-37]	[0-35]	[0-47]	[0-43]	[0-36]	[1-45]	[0-40]	[0-34]	[0-55]	[0-40]	[0-34]	[0-49]	[0-43]	[0-39]	[0-34]	[0-28]	[0-25]	[0-40]	[0-35]	[0-36]	[0-31]	[0-26]	[0-36]	[0-31]	[0-37]	[0-30]	[0-38]	[0-32]	[0-43]	[0-31]	[0-39]	[0-44]	[0-40]	[0-35]	[0-40]	[0-27]	[0-25]	[0-36]	[0-46]	[0-50]	[0-36]	[0-38]	[0-16]	ecc	0
P85	[1-39]	[0-37]	[0-39]	[0-52]	[1-38]	[0-37]	[0-52]	[0-39]	[0-42]	[0-37]	[0-35]	[0-47]	[0-43]	[0-36]	[1-45]	[0-40]	[0-34]	[0-55]	[0-40]	[0-34]	[0-49]	[0-43]	[0-39]	[0-34]	[0-28]	[0-25]	[0-40]	[0-35]	[0-36]	[0-31]	[0-26]	[0-36]	[0-31]	[0-37]	[0-30]	[0-38]	[0-32]	[0-43]	[0-31]	[0-39]	[0-44]	[0-40]	[0-35]	[0-40]	[0-27]	[0-25]	[0-36]	[0-46]	[0-50]	[0-36]	[0-38]	[0-16]	ecc	0
P136	[1-39]	[0-37]	[0-39]	[0-52]	[1-38]	[0-37]	[0-52]	[0-39]	[0-42]	[0-37]	[0-35]	[0-47]	[0-43]	[0-36]	[1-45]	[0-40]	[0-34]	[0-55]	[0-40]	[0-34]	[0-49]	[0-43]	[0-39]	[0-34]	[0-28]	[0-25]	[0-40]	[0-35]	[0-36]	[0-31]	[0-26]	[0-36]	[0-31]	[0-37]	[0-30]	[0-38]	[0-32]	[0-43]	[0-31]	[0-39]	[0-44]	[0-40]	[0-35]	[0-40]	[0-27]	[0-25]	[0-36]	[0-46]	[0-50]	[0-36]	[0-38]	[0-16]	ecc	0
P716	[1-39]	[0-37]	[0-39]	[0-52]	[1-38]	[0-37]	[0-52]	[0-39]	[0-42]	[0-37]	[0-35]	[0-47]	[0-43]	[0-36]	[1-45]	[0-40]	[0-34]	[0-55]	[0-40]	[0-34]	[0-49]	[0-43]	[0-39]	[0-34]	[0-28]	[0-25]	[0-40]	[0-35]	[0-36]	[0-31]	[0-26]	[0-36]	[0-31]	[0-37]	[0-30]	[0-38]	[0-32]	[0-43]	[0-31]	[0-39]	[0-44]	[0-40]	[0-35]	[0-40]	[0-27]	[0-25]	[0-36]	[0-46]	[0-50]	[0-36]	[0-38]	[0-16]	ecc	0
P17	[12-43]	[8-37]	[14-39]	[7-52]	[8-45]	[10-49]	[11-43]	[14-44]	[15-43]	[8-39]	[9-37]	[14-49]	[11-38]	[8-34]	[9-43]	[10-42]	[10-52]	[8-43]	[7-30]	[6-44]	[8-39]	[3-35]	[7-32]	[5-36]	[4-44]	[15-23]	[5-41]	[8-30]	[5-35]	[11-28]	[3-31]	[8-29]	[7-28]	[5-33]	[8-39]	[6-36]	[9-37]	[8-31]	[8-37]	[11-35]	[10-42]	[7-38]	[7-42]	[8-36]	[6-42]	[6-38]	[8-30]	[8-35]	[5-38]	[12-33]	[5-34]	[5-28]	ebc	1
P157	[12-43]	[8-37]	[14-39]	[7-52]	[8-45]	[10-49]	[11-43]	[14-44]	[15-43]	[8-39]	[9-37]	[14-49]	[11-38]	[8-34]	[9-43]	[10-42]	[10-52]	[8-43]	[7-30]	[6-44]	[8-39]	[3-35]	[7-32]	[5-36]	[4-44]	[15-23]	[5-41]	[8-30]	[5-35]	[11-28]	[3-31]	[8-29]	[7-28]	[5-33]	[8-39]	[6-36]	[9-37]	[8-31]	[8-37]	[11-35]	[10-42]	[7-38]	[7-42]	[8-36]	[6-42]	[6-38]	[8-30]	[8-35]	[5-38]	[12-33]	[5-34]	[5-28]	ebc	1
P188	[12-43]	[8-37]	[14-39]	[7-52]	[8-45]	[10-49]	[11-43]	[14-44]	[15-43]	[8-39]	[9-37]	[14-49]	[11-38]	[8-34]	[9-43]	[10-42]	[10-52]	[8-43]	[7-30]	[6-44]	[8-39]	[3-35]	[7-32]	[5-36]	[4-44]	[15-23]	[5-41]	[8-30]	[5-35]	[11-28]	[3-31]	[8-29]	[7-28]	[5-33]	[8-39]	[6-36]	[9-37]	[8-31]	[8-37]	[11-35]	[10-42]	[7-38]	[7-42]	[8-36]	[6-42]	[6-38]	[8-30]	[8-35]	[5-38]	[12-33]	[5-34]	[5-28]	ebc	1
P194	[12-43]	[8-37]	[14-39]	[7-52]	[8-45]	[10-49]	[11-43]	[14-44]	[15-43]	[8-39]	[9-37]	[14-49]	[11-38]	[8-34]	[9-43]	[10-42]	[10-52]	[8-43]	[7-30]	[6-44]	[8-39]	[3-35]	[7-32]	[5-36]	[4-44]	[15-23]	[5-41]	[8-30]	[5-35]	[11-28]	[3-31]	[8-29]	[7-28]	[5-33]	[8-39]	[6-36]	[9-37]	[8-31]	[8-37]	[11-35]	[10-42]	[7-38]	[7-42]	[8-36]	[6-42]	[6-38]	[8-30]	[8-35]	[5-38]	[12-33]	[5-34]	[5-28]	ebc	1
P196	[12-43]	[8-37]	[14-39]	[7-52]	[8-45]	[10-49]	[11-43]	[14-44]	[15-43]	[8-39]	[9-37]	[14-49]	[11-38]	[8-34]	[9-43]	[10-42]	[10-52]	[8-43]	[7-30]	[6-44]	[8-39]	[3-35]	[7-32]	[5-36]	[4-44]	[15-23]	[5-41]	[8-30]	[5-35]	[11-28]	[3-31]	[8-29]	[7-28]	[5-33]	[8-39]	[6-36]	[9-37]	[8-31]	[8-37]	[11-35]	[10-42]	[7-38]	[7-42]	[8-36]	[6-42]	[6-38]	[8-30]	[8-35]	[5-38]	[12-33]	[5-34]	[5-28]	ebc	1
P46	[30-40]	[35-44]	[31-54]	[31-52]	[28-61]	[36-50]	[30-48]	[32-52]	[40-49]	[34-46]	[26-53]	[31-57]	[31-40]	[32-47]	[28-55]	[29-50]	[31-51]	[36-46]	[31-43]	[26-43]	[27-39]	[31-45]	[25-39]	[27-39]	[18-41]	[16-41]	[20-34]	[18-28]	[25-37]	[20-30]	[17-34]	[29-36]	[21-39]	[23-40]	[21-36]	[27-38]	[22-33]	[26-39]	[19-40]	[20-41]	[21-40]	[27-41]	[28-41]	[24-41]	[23-37]	[22-35]	[24-45]	[24-33]	[28-48]	[23-40]	[20-40]	[15-33]	ebc	2
P52	[30-40]	[35-44]	[31-54]	[31-52]	[28-61]	[36-50]	[30-48]	[32-52]	[40-49]	[34-46]	[26-53]	[31-57]	[31-40]	[32-47]	[28-55]	[29-50]	[31-51]	[36-46]	[31-43]	[26-43]	[27-39]	[31-45]	[25-39]	[27-39]	[18-41]	[16-41]	[20-34]	[18-28]	[25-37]	[20-30]	[17-34]	[29-36]	[21-39]	[23-40]	[21-36]	[27-38]	[22-33]	[26-39]	[19-40]	[20-41]	[21-40]	[27-41]	[28-41]	[24-41]	[23-37]	[22-35]	[24-45]	[24-33]	[28-48]	[23-40]	[20-40]	[15-33]	ebc	2
P87	[30-40]	[35-44]	[31-54]	[31-52]	[28-61]	[36-50]	[30-48]	[32-52]	[40-49]	[34-46]	[26-53]	[31-57]	[31-40]	[32-47]	[28-55]	[29-50]	[31-51]	[36-46]	[31-43]	[26-43]	[27-39]	[31-45]	[25-39]	[27-39]	[18-41]	[16-41]	[20-34]	[18-28]	[25-37]	[20-30]	[17-34]	[29-36]	[21-39]	[23-40]	[21-36]	[27-38]	[22-33]	[26-39]	[19-40]	[20-41]	[21-40]	[27-41]	[28-41]	[24-41]	[23-37]	[22-35]	[24-45]	[24-33]	[28-48]	[23-40]	[20-40]	[15-33]	ebc	2
P618	[30-40]	[35-44]	[31-54]	[31-52]	[28-61]	[36-50]	[30-48]	[32-52]	[40-49]	[34-46]	[26-53]	[31-57]	[31-40]	[32-47]	[28-55]	[29-50]	[31-51]	[36-46]	[31-43]	[26-43]	[27-39]	[31-45]	[25-39]	[27-39]	[18-41]	[16-41]	[20-34]	[18-28]	[25-37]	[20-30]	[17-34]	[29-36]	[21-39]	[23-40]	[21-36]	[27-38]	[22-33]	[26-39]	[19-40]	[20-41]	[21-40]	[27-41]	[28-41]	[24-41]	[23-37]	[22-35]	[24-45]	[24-33]	[28-48]	[23-40]	[20-40]	[15-33]	ebc	2
P38	[30-40]	[35-44]	[31-54]	[31-52]	[28-61]	[36-50]	[30-48]	[32-52]	[40-49]	[34-46]	[26-53]	[31-57]	[31-40]	[32-47]	[28-55]	[29-50]	[31-51]	[36-46]	[31-43]	[26-43]	[27-39]	[31-45]	[25-39]	[27-39]	[18-41]	[16-41]	[20-34]	[18-28]	[25-37]	[20-30]	[17-34]	[29-36]	[21-39]	[23-40]	[21-36]	[27-38]	[22-33]	[26-39]	[19-40]	[20-41]	[21-40]	[27-41]	[28-41]	[24-41]	[23-37]	[22-35]	[24-45]	[24-33]	[28-48]	[23-40]	[20-40]	[15-33]	ecb	2
P63	[30-40]	[35-44]	[31-54]	[31-52]	[28-61]	[36-50]	[30-48]	[32-52]	[40-49]	[34-46]	[26-53]	[31-57]	[31-40]	[32-47]	[28-55]	[29-50]	[31-51]	[36-46]	[31-43]	[26-43]	[27-39]	[31-45]	[25-39]	[27-39]	[18-41]	[16-41]	[20-34]	[18-28]	[25-37]	[20-30]	[17-34]	[29-36]	[21-39]	[23-40]	[21-36]	[27-38]	[22-33]	[26-39]	[19-40]	[20-41]	[21-40]	[27-41]	[28-41]	[24-41]	[23-37]	[22-35]	[24-45]	[24-33]	[28-48]	[23-40]	[20-40]	[15-33]	ecb	2
P181	[30-40]	[35-44]	[31-54]	[31-52]	[28-61]	[36-50]	[30-48]	[32-52]	[40-49]	[34-46]	[26-53]	[31-57]	[31-40]	[32-47]	[28-55]	[29-50]	[31-51]	[36-46]	[31-43]	[26-43]	[27-39]	[31-45]	[25-39]	[27-39]	[18-41]	[16-41]	[20-34]	[18-28]	[25-37]	[20-30]	[17-34]	[29-36]	[21-39]	[23-40]	[21-36]	[27-38]	[22-33]	[26-39]	[19-40]	[20-41]	[21-40]	[27-41]	[28-41]	[24-41]	[23-37]	[22-35]	[24-45]	[24-33]	[28-48]	[23-40]	[20-40]	[15-33]	ecb	2
